"title","date","brief","detail_href"
"【安全通告】微软发布7月补丁修复124个安全问题","2020/7/15","综述微软于周二发布了7月安全更新补丁，修复了124个从简单的欺骗攻击到远程代码执行的安全问题，产品涉及 NET Framework、Azure DevOps、Internet Explorer、Microsoft Edge、Microsoft Graphics Component、Microsoft JET Database Engine、Microsoft Malware Protection Engine、Microsoft Office、Microsoft Office SharePoint、Microsoft OneDrive、Microsoft Scripting Engine、Microsoft Windows、Ope","/html/2020/39_0715/943.html"
"【安全通告】Oracle全系产品2020年7月关键补丁更新","2020/7/15","综述当地时间2020年7月14日，Oracle官方发布了2020年7月关键补丁更新公告CPU（Critical Patch Update），安全通告以及第三方安全公告等公告内容，修复了443个不同程度的漏洞。各产品受影响情况以及可用补丁情况见附录表格。完整信息请查看官方通告：https: www oracle com security-alerts cpujul2020 html漏洞总结产品漏洞个数未授权远程利用个数最高CVSS评分Oracle Database server1918 8Oracle Berkeley DB307 3Oracl","/html/2020/39_0715/942.html"
"【安全通告】Adobe 7月安全更新","2020/7/15","综述当地时间7月14日，Adobe官方发布了7月安全更新，修复了Adobe 多款产品中的多个漏洞，包括Adobe Creative Cloud Desktop Application、Adobe Media Encoder、Adobe Genuine Service、Adobe ColdFusion 和 Adobe Download Manager。官方通告地址：https: helpx adobe com security html漏洞概述：Adobe ColdFusionAdobe发布的ColdFusion 安全更新，共修复了2个安全漏洞。Adobe 官方指定以下更新优先级为2","/html/2020/39_0715/941.html"
"【漏洞通告】Weblogic远程代码执行漏洞（CVE-2020-14625、CVE-2020-14644、CVE-2020-14645、CVE-2020-14687） 安全通告","2020/7/15","综述北京时间2020年7月15日，Oracle发布2020年7月关键补丁更新（Critical Patch Update，简称CPU），此次更新共修复了443个危害程度不同的安全漏洞。其中针对WebLogic Server Core组件，且评分为9 8的严重漏洞共有4个，分别是CVE-2020-14625、CVE-2020-14644、CVE-2020-14645、CVE-2020-14687。它们均和T3、IIOP 协议相关，允许未经身份验证的攻击者通过网络实现远程代码执行。T3、IIOP 协议用于在 WebLogic 和其他 Ja","/html/2020/39_0715/940.html"
"SAP NetWeaver AS Java 严重漏洞 (CVE-2020-6287) 安全通告","2020/7/15","综述当地时间2020年7月13日，SAP发布安全更新表示，修复了一个存在于SAP NetWeaver AS Java（LM配置向导）7 30至7 50版本中的严重漏洞CVE-2020-6287。漏洞缘于SAP NetWeaver AS for Java Web组件中缺少身份验证，因此允许攻击者在受影响的SAP系统上进行高特权活动。如果被成功利用，则未经身份验证的远程攻击者可以通过创建具有最大特权的新SAP用户，绕过所有访问和授权控制，从而完全控制SAP系统。CVSS 3 0评分10CVSS","/html/2020/39_0715/939.html"
"【漏洞通告】Microsoft Windows DNS服务器远程代码执行漏洞SigRed（CVE-2020-1350） 安全通告","2020/7/15","综述当地时间7月14日，微软最新的月度补丁更新中修复了一枚存在于Windows DNS 服务器中的可蠕虫化漏洞CVE-2020-1350（代号 SigRed）。这意味着攻击者利用该漏洞能够在没有任何用户交互的情况下，在易受攻击的机器间传播，从而有可能感染整个组织的网络。据报道，该漏洞已经存在17年之久，微软官方给出的评分为 10分（CVSS:3 0 AV:N AC:L PR:N UI:N S:C C:H I:H A:H E:P RL:O RC:C）。当DNS服务器解析传入的查询或对转发请求","/html/2020/39_0715/938.html"
"绿盟科技威胁情报周报（2020.07.06-2020.07.12）","2020/7/15","一、威胁通告lF5 BIG-IP TMUI远程代码执行漏洞【发布时间】2020-07-12 13:00:00 GMT【概述】近日，绿盟科技监测到F5官方对流量管理用户界面（TMUI）远程代码执行漏洞（CVE-20 20-5902）的安全公告进行了更新。受影响的15 x版本变更为15 0 0-15 1 0，更新了可被绕过的临时缓解措施及验证方法；未经身份验证的攻击者通过BIG-IP管理端口或自身IP访问TMUI，可构造恶意请求获取目标服务器权限，CVSS评分为10分。【链接】http:","/html/2020/39_0715/937.html"
"【漏洞通告】Citrix多个漏洞 安全通告","2020/7/13","综述近日，Citrix发布安全更新通告，表示已修复其Citrix ADC(以前称为NetScaler ADC)、Citrix Gateway (以前称为NetScaler Gateway)和Citrix SD-WAN WANOP设备中的共11个漏洞。漏洞包括：CVE ID漏洞类型受影响的产品攻击者所需权限前提条件CVE-2019-18177信息泄露Citrix ADC，CitrixGateway经过身份验证的VPN用户需要配置的SSL VPN端点CVE-2020-8187拒绝服务仅Citrix ADC，Citrix Gateway 12 0和11 1未经身份验证","/html/2020/39_0713/935.html"
"绿盟科技威胁情报周报（2020.06.29-2020.07.05）","2020/7/7","一、威胁通告Treck TCP IP协议库 Ripple20漏洞【发布时间】2020-06-30 18:00:00 GMT【概述】近日，以色列网络安全公司JSOF的研究人员在Treck公司开发的底层TCP IP软件库中发现了19个0day漏洞，包括 CVE-2020-11896、CVE-2020-11897、CVE-2020-11898、CVE-2020-11899、CVE-2020-11900、CVE-2020-11901、CVE-2020-11902、CVE-2020-11903、CVE-2020-11904、 CVE-2020-11905、CVE-2020-11906、CVE-2020-11907、CVE-2020-11908","/html/2020/39_0707/934.html"
"F5 BIG-IP TMUI 远程代码执行漏洞（CVE-2020-5902） 防护方案","2020/7/6","一 综述近日，F5官方发布公告，修复了流量管理用户界面（TMUI）中存在的一个远程代码执行漏洞（CVE-2020-5902）。此漏洞允许未经身份验证的攻击者或经过身份验证的用户通过BIG-IP管理端口和 或自身IP对TMUI进行网络访问，以执行任意系统命令、创建或删除文件、禁用服务和 或执行任意Java代码。该漏洞可能对整个系统造成危害。目前监测到网络上已经有PoC，并且已有利用该漏洞的攻击行为出现，建议用户尽快升级进行防护。F5 BI","/html/2020/39_0706/933.html"
"绿盟科技威胁情报月报（2020.06.1-2020.06.30）","2020/7/6","一、漏洞态势2020年06月绿盟科技安全漏洞库共收录177漏洞, 其中高危漏洞58个，微软高危漏洞19个。* 数据来源：绿盟科技威胁情报中心，本表数据截止到2020 06 30注：绿盟科技漏洞库包含应用程序漏洞、安全产品漏洞、操作系统漏洞、数据库漏洞、网络设备漏洞等；二、威胁事件1 Mustang Panda组织使用Dll-Sideload技术加载PlugX木马【标签】Mustang Panda【时间】2020-06-02【简介】Mustang Panda组织使用Dll-Sideload技术与","/html/2020/39_0706/932.html"
"【安全通告】F5 BIG-IP TMUI 远程代码执行漏洞 （CVE-2020-5902）","2020/7/6","综述近日，F5官方发布公告修复了一个流量管理用户界面（TMUI）存在一个远程代码执行漏洞（CVE-2020-5902）。此漏洞允许未经身份验证的攻击者或经过身份验证的用户通过BIG-IP管理端口和 或自身IP对TMUI进行网络访问，以执行任意系统命令，创建或删除文件，禁用服务和 或执行任意操作Java代码。此漏洞可能导致完整的系统危害。目前监测到网络上已经有POC，并且已有利用该漏洞的攻击行为出现，建议用户尽快升级进行防护。F5 BIG-I","/html/2020/39_0706/931.html"
"【安全通告】Microsoft Windows编解码器库远程代码执行漏洞 （CVE-2020-1425,CVE-2020-1457）","2020/7/1","综述北京时间7月1日，微软发布临时公告称修复了2个Windows编解码器库（Microsoft Windows Codecs Library）中存在的远程代码执行漏洞（CVE-2020-1425,CVE-2020-1457）。攻击者可以通过一个特制的图像文件来触发该漏洞，从而执行代码。目前微软已经发布补丁进行了修复。参考链接：https: portal msrc microsoft com en-us security-guidance advisory CVE-2020-1425https: portal msrc microsoft com en-us security-guidan","/html/2020/39_0701/930.html"
"【漏洞通告】Apache Dubbo远程代码执行漏洞(CVE-2020-1948) 补丁绕过","2020/6/30","综述6月23日，绿盟科技发布了Apache Dubbo的一个反序列化导致的远程代码执行漏洞（CVE-2020-1948）通告。http: blog nsfocus net apache-dubbo-0623 Apache Dubbo 是一款高性能Java RPC框架。漏洞存在于 Apache Dubbo默认使用的反序列化工具 hessian 中，攻击者可能会通过发送恶意 RPC 请求来触发漏洞，这类 RPC 请求中通常会带有无法识别的服务名或方法名，以及一些恶意的参数负载。当恶意参数被反序列化时，达到","/html/2020/39_0630/929.html"
"绿盟科技威胁情报周报（2020.06.22-2020.06.28）","2020/6/29","一、威胁通告Apache Dubbo Provider默认反序列化远程代码执行漏洞【发布时间】2020-06-23 17:00:00 GMT【概述】2020年6月23日，Apache Dubbo发布安全公告披露Provider默认反序列化导致的远程代码执行漏洞（CVE-2020-1948），攻击者可以发送带有无法识别的服务名或方法名及某些恶意参数负载的RPC请求，当恶意参数被反序列化时将导致代码执行。【链接】http: blog nsfocus net apache-dubbo-0623 二、热点资讯1 攻击者使用I","/html/2020/39_0629/928.html"
"【漏洞通告】Apache Dubbo远程代码执行漏洞(CVE-2020-1948)","2020/6/23","综述近日，Apache Dubbo公布了一个反序列化导致的远程代码执行漏洞（CVE-2020-1948）。Apache Dubbo 是一款高性能Java RPC框架。漏洞存在于 Apache Dubbo默认使用的反序列化工具 hessian 中，攻击者可能会通过发送恶意 RPC 请求来触发漏洞，这类 RPC 请求中通常会带有无法识别的服务名或方法名，以及一些恶意的参数负载。当恶意参数被反序列化时，达到代码执行的目的。参考链接：https: www mail-archive com dev@","/html/2020/39_0623/927.html"
"绿盟科技威胁情报周报（2020.06.15-2020.06.21）","2020/6/22","一、热点资讯1 Operation In(ter)ception针对知名航空航天和军事公司的攻击【概述】Operation In(ter)ception行动中攻击者创建伪造的LinkedIn帐户，冒充航空航天和国防工业中知名公司的HR代表，以知名职位的薪资信息为诱饵向目标公司员工分发恶意软件，并且试图通过商业电子邮件泄露（BEC）攻击来通过受害者的电子邮件帐户获利。【参考链接】https: www welivesecurity com 2020 06 17 operation-interception-aerospace-mil","/html/2020/39_0622/926.html"
"绿盟科技威胁情报周报（2020.06.08-2020.06.14）","2020/6/15","一、威胁通告微软2020年6月安全更新多个产品高危漏洞【发布时间】2020-06-1009:00:00 GMT【概述】北京时间6月10日，微软发布6月安全更新补丁，修复了130个安全问题，涉及Micros oft Windows、InternetExplorer、MicrosoftEdge、WindowsDefender、MicrosoftOffice、Visual Studio、AdobeFlashPlayer等广泛使用的产品，其中包括内存泄露和远程代码执行等高危漏洞类型。 本月微软月度更新修复的漏洞中，严重程度为关键（Criti","/html/2020/39_0615/925.html"
"【漏洞通告】微软6月安全更新多个产品高危漏洞通告","2020/6/10","一 漏洞概述北京时间6月10日，微软发布6月安全更新补丁，修复了130个安全问题，涉及Microsoft Windows、InternetExplorer、MicrosoftEdge、WindowsDefender、MicrosoftOffice、Visual Studio、AdobeFlashPlayer等广泛使用的产品，其中包括内存泄露和远程代码执行等高危漏洞类型。本月微软月度更新修复的漏洞中，严重程度为关键（Critical）的漏洞共有12个，重要（Important）漏洞有118个。这是微软有史以来在一个月内发布CV","/html/2020/39_0610/924.html"
"绿盟科技威胁情报周报（2020.06.1-2020.06.7）","2020/6/8","一、威胁通告lWebSphere远程代码执行漏洞【发布时间】2020-06-05 20:00:00 GMT【概述】北京时间6月5日，IBM官方发布通告修复了 WebSphereApplicationServer（WAS）中的远程代码执行（CVE-2020-4450）漏洞，此漏洞由IIOP协议上的反序列化造成，未经身份认证的攻击者可以通过IIOP协议远程攻击WAS服务器，在目标服务端执行任意代码，获取系统权限，进而接管服务器。CVSS评分为9 8分，漏洞危害较高。【链接】http: blog nsfocus","/html/2020/39_0608/923.html"
"【漏洞通告】Apache Tomcat Session 反序列化远程代码执行漏洞（CVE-2020-9484）通告","2020/5/21","一 漏洞概述北京时间5月20日，Apache官方发布安全通告修复了ApacheTomcatSession反序列化远程代码执行漏洞（CVE-2020-9484），如果使用了Tomcat的session持久化功能，不安全的配置将导致攻击者可以发送恶意请求执行任意代码，建议相关用户采取措施进行防护。成功利用此漏洞需要同时满足以下4个条件：1）攻击者能够控制服务器上文件的内容和文件名称；2）服务器PersistenceManager配置中使用了FileStore；3）PersistenceManage","/html/2020/39_0521/905.html"
"绿盟威胁情报周报（20200511~20200517）","2020/5/18","一、威胁通告微软2020年5月安全更新多个产品高危漏洞【发布时间】2020-05-13 10:00:00 GMT【概述】北京时间5月13日，微软发布5月安全更新补丁，修复了111个安全问题，涉及Microsoft Windows、InternetExplorer、MicrosoftEdge、 NET Framework、MicrosoftOffice、Visual Studio等广泛使用的产品，其中包括特权提升和远程代码执行等高危漏洞类型。 本月微软月度更新修复的漏洞中，严重程度为关键（Critical）的漏洞共有16","/html/2020/39_0518/914.html"
"【漏洞通告】微软5月安全更新多个产品高危漏洞通告","2020/5/14","一 漏洞概述北京时间5月13日，微软发布5月安全更新补丁，修复了111个安全问题，涉及Microsoft Windows、InternetExplorer、MicrosoftEdge、 NET Framework、MicrosoftOffice、Visual Studio等广泛使用的产品，其中包括特权提升和远程代码执行等高危漏洞类型。本月微软月度更新修复的漏洞中，严重程度为关键（Critical）的漏洞共有16个，重要（Important）漏洞有95个。其中Win32k特权提升（CVE-2020-1054）漏洞PoC的已公开","/html/2020/39_0514/836.html"
"微软发布5月补丁 修复111个安全问题","2020/5/13","微软于本周二发布了5月安全更新补丁，修复了111个从简单的欺骗攻击到远程执行代码的安全问题，产品涉及 NET Core、 NET Framework、Active Directory、Common Log File System Driver、Internet Explorer、Microsoft Dynamics、Microsoft Edge、Microsoft Graphics Component、Microsoft JET Database Engine、Microsoft Office、Microsoft Office SharePoint、Microsoft Scripting Engine、Microsoft Win","/html/2020/39_0513/904.html"
"绿盟威胁情报周报（20200427~20200510）","2020/5/11","一、威胁通告Jenkins插件多个漏洞【发布时间】2020-05-08 18:00:00 GMT【概述】5月6日，Jenkins官方发布安全公告修复插件中的9个漏洞，有5个插件受到影响。其中SCM Filter Jervis插件存在远程代码执行漏洞（CVE-2020-2189），官方定级为高危。由于SCM Filter Jervis插件默认不配置YAML解析器，导致用户可以使用过滤器配置项目，也可以操作SCM已存储配置过的项目内容。CredentialsBinding插件存在两个凭据泄露漏洞（CVE-20","/html/2020/39_0511/913.html"
"绿盟科技威胁情报月报（2020年4月）","2020/5/8","一、漏洞态势2020年04月绿盟科技安全漏洞库共收录209漏洞, 其中高危漏洞155个，微软高危漏洞18个。* 数据来源：绿盟科技威胁情报中心，本表数据截止到2020 04 29注：绿盟科技漏洞库包含应用程序漏洞、安全产品漏洞、操作系统漏洞、数据库漏洞、网络设备漏洞等。二、威胁事件polaris僵尸网络攻击全球Netlink路由器【标签】polaris【时间】2020-04-10【简介】近期绿盟科技格物实验室发现针对Netlink GPON路由器RCE漏洞的利用行","/html/2020/39_0508/903.html"
"「漏洞通告」Jenkins插件多个漏洞","2020/5/8","漏洞概述5月6日，Jenkins官方发布安全公告修复插件中的9个漏洞，有5个插件受到影响。其中SCM Filter Jervis插件存在远程代码执行漏洞（CVE-2020-2189），官方定级为高危。由于SCM Filter Jervis插件默认不配置YAML解析器，导致用户可以使用过滤器配置项目，也可以操作SCM已存储配置过的项目内容。CredentialsBinding插件存在两个凭据泄露漏洞（CVE-2020-2181、CVE-2020-2182），CopyArtifact插件存在权限校验不当漏洞（CVE-","/html/2020/39_0508/902.html"
"绿盟科技威胁情报月报（2020年4月）","2020/5/4","一、漏洞态势2020年04月绿盟科技安全漏洞库共收录209漏洞, 其中高危漏洞155个，微软高危漏洞18个。* 数据来源：绿盟科技威胁情报中心，本表数据截止到2020 04 29注：绿盟科技漏洞库包含应用程序漏洞、安全产品漏洞、操作系统漏洞、数据库漏洞、网络设备漏洞等。二、威胁事件polaris僵尸网络攻击全球Netlink路由器【标签】polaris【时间】2020-04-10【简介】近期绿盟科技格物实验室发现针对Netlink GPON路由器RCE漏洞的利用行","/html/2020/39_0504/912.html"
"「漏洞通告」SaltStack多个漏洞（CVE-2020-11651/11652）","2020/5/4","近日，服务器基础架构集中化管理平台SaltStack Salt 被披露存在两个安全漏洞（CVE-2020-11651、CVE-2020-11652）。开源项目Salt 是SaltStack公司产品的核心，作为管理数据中心和云环境中服务器的配置工具，广受欢迎。存在的两个漏洞分别是身份验证绕过漏洞（CVE-2020-11651）和目录遍历漏洞（ CVE-2020-11652）。漏洞描述CVE-2020-11651漏洞由ClearFuncs类引起，该类无意中暴露了_send_pub（）和_prep_auth_info（）方法。","/html/2020/39_0504/901.html"
"「漏洞通告」Junos OS HTTP&HTTPS 服务高危漏洞 （CVE-2020-1631）","2020/5/1","一、漏洞概述4月28日，Juniper官方发布安全公告修复Juniper Networks Junos OS中J-Web和基于Web的（HTTP HTTPS）服务中的漏洞（CVE-2020-1631），JunosOS设备的J-Web服务、Web身份验证模块、动态VPN（DVPN）、带有Web重定向的防火墙身份验证及零接触配置（ZTP）所使用的HTTP HTTPS服务接口存在本地文件包含（LFI）和路径遍历漏洞。攻击者可利用该漏洞向httpd log文件注入命令，读取文件或获取J-Web会话令牌。建议使用该系统","/html/2020/39_0501/900.html"
"绿盟威胁情报周报（20200420~20200426）","2020/4/27","热点资讯绿盟科技20周年 | 专题汇总【概述】2000年，伴随着新世纪千禧年的钟声，中国互联网和计算机科学技术迎来高速发展期，同年4月25日，绿盟科技在北京成立。2020年4月25日，见证中国网络安全行业发展的绿盟科技集团（以下简称绿盟科技）迎来了20周岁生日，以成年人的姿态奋进在下一个二十年的新征程上。【参考链接】http: blog nsfocus net 20years-special-topic 绿盟科技在RSAC热点研讨会带来的干货【概述】4月17日由","/html/2020/39_0427/911.html"
"绿盟威胁情报周报（20200413~20200419）","2020/4/20","一、威胁通告WebSphere Application Server权限提升漏洞【发布时间】2020-04-14 18:00:00 GMT【概述】4月9日，IBM 官方更新安全公告，修复了WebSphere Application Server 中的权限提升漏洞（CVE-2020-4362）。当WebSphere在管理请求中通过SOAP connector使用基于令牌的身份验证时，攻击者通过向WebSphere SOAP Connector发送恶意构造的请求，可能在受影响服务器上进行权限提升。【链接】http: blog nsfocus net cv","/html/2020/39_0420/910.html"
"「漏洞通告」Git公布凭证泄露漏洞（CVE-2020-5260）","2020/4/16","近日，Git发布安全通告公布了一个可能泄露Git用户凭证的漏洞（CVE-2020-5260）。Git使用凭证助手(credential helper)来帮助用户存储和检索凭证。但是当一个URL中包含经过编码的换行符时，可能将非预期的值注入到credential helper的协议流中。这将使恶意URL欺骗Git客户端去向攻击者发送主机凭据。当使用受影响版本Git对恶意URL执行git clone命令时会触发该漏洞。参考链接：https: github com git git security advisories G","/html/2020/39_0416/899.html"
"Oracle全系产品2020年4月关键补丁更新","2020/4/16","当地时间2020年4月14日，Oracle官方发布了2020年4月关键补丁更新公告CPU（Critical Patch Update），安全通告以及第三方安全公告等公告内容，修复了397个不同程度的漏洞。各产品受影响情况以及可用补丁情况见附录表格。完整信息请查看官方通告：https: www oracle com security-alerts cpuapr2020 html漏洞总结产品漏洞个数未授权远程利用个数最高CVSS评分Oracle Database server828 0Oracle Global Lifecycle Manageme","/html/2020/39_0416/894.html"
"「漏洞通告」WebLogic多个远程代码执行漏洞","2020/4/15","一、漏洞概述京时间4月15日，Oracle官方发布了2020年4月关键补丁更新公告CPU（Critical Patch Update），修复了397个不同程度的漏洞。其中包括三个针对Weblogic的严重漏洞（CVE-2020-2801、CVE-2020-2883、CVE-2020-2884）和一个OracleCoherence远程代码执行漏洞（CVE-2020-2915），使用了OracleCoherence库的产品受此漏洞影响。本次四个漏洞均为T3协议存在缺陷、未经身份验证的攻击者可通过此类漏洞实现远程代码执行，CVSS评","/html/2020/39_0415/898.html"
"「漏洞通告」Oracle Coherence远程代码执行漏洞（CVE-2020-2915）","2020/4/15","当地时间4月14日，Oracle发布2020年4月关键补丁更新（Critical Patch Update，简称CPU），其中包括一个针对Oracle Coherence，评分为9 8的严重漏洞（CVE-2020-2915）。漏洞允许未经身份验证的攻击者通过T3协议网络访问并破坏易受攻击的Oracle Coherence，成功的漏洞利用可导致Oracle Coherence被攻击者接管，从而造成远程代码执行。使用了Oracle Coherence库的产品受此漏洞影响，在WebLogic Server 11g Release（10 3","/html/2020/39_0415/897.html"
"微软发布4月安全补丁 修复113个安全问题","2020/4/15","微软于周二发布了4月安全更新补丁，修复了113个从简单的欺骗攻击到远程执行代码的安全问题。产品涉及Android App、Apps、Microsoft Dynamics、Microsoft Graphics Component、Microsoft JET Database Engine、Microsoft Office、Microsoft Office SharePoint、Microsoft Scripting Engine、Microsoft Windows、Microsoft Windows DNS、Open Source Software、Remote Desktop Client、Visual Studio、Window","/html/2020/39_0415/896.html"
"「漏洞通告」Oracle公布三个Weblogic高危远程代码执行漏洞","2020/4/15","北京时间2020年4月15日，Oracle发布2020年4月关键补丁更新。此次更新共修复了397个危害程度不同的安全漏洞。其中包括三个针对WebLogic Server，评分为9 8的严重漏洞（CVE-2020-2801、CVE-2020-2883、CVE-2020-2884）。以上漏洞允许未经身份验证的攻击者通过T3协议网络访问并破坏易受攻击的WebLogic Server，成功的漏洞利用可导致WebLogic Server被攻击者接管，从而造成远程代码执行。参考链接：https: www oracle com secur","/html/2020/39_0415/895.html"
"Adobe 4月安全更新通告","2020/4/15","1 漏洞概述Adobe ColdFusionAdobe已发布Adobe ColdFusion  安全更新，修复了3个安全漏洞。漏洞概括如下：关于漏洞的具体影响版本及修复情况，请参考Adobe官方安全通告：https: helpx adobe com security products coldfusion apsb20-18 htmlAdobe After EffectsAdobe已发布Adobe After Effects安全更新，修复了1个安全漏洞。漏洞概括如下：关于漏洞的具体影响版本及修复情况，请参考Adobe官方安全通告：https: help","/html/2020/39_0415/893.html"
"「漏洞通告」WebSphere Application Server 权限提升漏洞（CVE-2020-4362）","2020/4/14","一、漏洞概述4月9日，IBM官方更新安全公告，修复了WebSphereApplicationServer中的权限提升漏洞（CVE-2020-4362）。当WebSphere在管理请求中通过SOAPconnector使用基于令牌的身份验证时，攻击者通过向WebSphereSOAPConnector发送恶意构造的请求，可能在受影响服务器上进行权限提升。WebSphere是IBM的软件平台。它包含了编写、运行和监视全天候的工业强度的随需应变Web应用程序和跨平台、跨产品解决方案所需要的整个中间件基础设","/html/2020/39_0414/892.html"
"绿盟威胁情报周报（20200406~20200412）","2020/4/13","一、威胁通告新型勒索软件WannaRen【发布时间】2020-04-08 22:00:00 GMT【概述】近日，网络上出现一种新型勒索病毒并在PC上开始传播。该勒索软件会加密Windows系统中的文件，并且以 WannaRen后缀命名。攻击者留下比特币钱包并索取 0 05 比特币。绿盟科技应急响应团队通过跟踪分析，发现kms激活工具19 5 2 exe为勒索软件下载器，该下载器伪装成kms激活工具诱导用户下载。绿盟威胁情报中心已支持对该事件的在线检测，已使用情","/html/2020/39_0413/909.html"
"绿盟威胁情报月报（2020年3月）","2020/4/8","一、漏洞态势2020年03月绿盟科技安全漏洞库共收录215漏洞, 其中高危漏洞96个，微软高危漏洞27个。* 数据来源：绿盟科技威胁情报中心，本表数据截止到2020 03 30注：绿盟科技漏洞库包含应用程序漏洞、安全产品漏洞、操作系统漏洞、数据库漏洞、网络设备漏洞等；二、威胁事件APT41使用多个漏洞发起全球入侵活动【标签】APT41【针对行业】金融、政府、医疗、运输、国防、制造业、非营利组织、石油和天然气、运营商、高校和科研机","/html/2020/39_0408/908.html"
"绿盟科技威胁情报周报（20200330~20200406）","2020/4/7","一、威胁通告Linux Kernel信息泄漏&权限提升漏洞【发布时间】2020-03-31 21:00:00 GMT【概述】3月31日，Manfred Paul选手在Pwn2Own比赛上用于演示Linux内核权限提升的漏洞被CVE收录，漏洞编号为CVE-2020-8835。此漏洞由于bpf验证系统在Linux内核中没有正确计算某些操作的寄存器限制，导致本地攻击者可以利用此缺陷越界读取机密信息(内核内存)或将用户提升为管理权限。http: blog nsfocus net cve-2020-8835-0401 Vollgar僵","/html/2020/39_0407/907.html"
"「威胁通告」关于深信服SSL VPN被境外APT组织利用并下发恶意代码","2020/4/7","一、威胁概述4月6日，深信服官方发布通告称，有境外APT组织通过非法手段控制部分深信服SSL VPN设备，并利用客户端升级漏洞下发恶意文件到客户端，绿盟科技对该事件密切关注，并进行了整体的梳理和分析，建议相关用户及时采取防护和应急措施。本次漏洞为SSL VPN设备Windows客户端升级模块签名验证机制的缺陷，但利用该漏洞的条件为必须获取控制SSL VPN设备的权限。根据深信服官方的分析，此漏洞利用难度较高。官方预估，受影","/html/2020/39_0407/891.html"
"「威胁通告」新型勒索软件WannaRen","2020/4/7","近日，网络上出现一种新型勒索病毒WannaRen并在PC上开始传播。该勒索软件会加密Windows系统中几乎任何文件，并且以 WannaRen后缀命名。攻击者留下比特币钱包并索取0 05比特币。据初步分析，该勒索病毒会检测运行环境，若在虚拟机中，则不运行加密。目前该勒索软件影响Windows 7与Windows 10系统。用户感染后会收到如下信息：受影响情况目前确认 Windows 7与 Windows 10均受影响解决方案绿盟科技建议用户不要下载与打开来","/html/2020/39_0407/890.html"
