"title","author","brief","tags"
"QiAnXinTI-SV-2019-0006 微软远程桌面服务远程代码执行漏洞（CVE-2019-0708）预警通告","2019-05-31 By 红雨滴团队 | 漏洞通告","2019年05月15日，微软公布了5月的补丁更新列表，在其中存在一个被标记为严重的RDP（远程桌面服务）远程代码执行漏洞，攻击者可以利用此漏洞远程无需用户验证通过发送构造特殊的恶意数据在目标系统上执行恶意代码，从而获取机器的完全控制。此漏洞主要影响的设备为Windows 7、Window Server 2008以及微软已不再支持的Windows 2003、Window XP操作系统，涉及系统在国内依然有大量的使用，所以此漏洞的影响面巨大，初步的互联网评估国内受影响RDP服务器达到30万量级IP。由于漏洞利用无需用户交互的特性结合巨大的影响面，意味着该漏洞极有可能被蠕虫所利用，如果漏洞利用稳定有可能导致类似WannaCry蠕虫泛滥的情况发生。 奇安信息威胁情报中心红雨滴团队第一时间跟进该漏洞并保持关注，目前已经确认利用此漏洞可以至少非常稳定地触发受影响系统蓝屏崩溃从而导致拒绝服务，到5月31日已有公开渠道发布可以导致系统蓝屏崩溃的POC代码出现，有企图的攻击者可以利用此POC工具对大量存在漏洞的系统执行远程拒绝服务攻击，至此已经构成了非常现实的威胁。 相关厂商微软针对此漏洞已经发布了安全补丁（包括那些已经不再提供技术支持的老旧操作系统），强烈建议用户立即安装相应的补丁或其他缓解措施以避免受到相关的威胁。","CVE-2019-0708 RDP"
"QiAnXinTI-SV-2019-0009 WinRAR远程代码执行漏洞（CVE-2018-20250）通告","2019-02-21 By 奇安信威胁情报中心 | 漏洞通告","WinRAR是一款流行的解压缩工具，据其官网上发布的数据，全球有超过5亿的用户在使用WinRAR。 2019年2月20日，安全厂商checkpoint发布了名为<<Extracting a 19 Year Old Code Execution from WinRAR>>的文章（见参考[1]），文章披露了一个存在于WinRAR中用于ace文件解析的DLL模块中的绝对路径穿越漏洞，可导致远程代码执行。 奇安信威胁情报中心经过测试确认该攻击方法可用，由于WinRAR工具的安装量较大，且大多数用户疏于对该工具的更新，奇安信威胁情报中心特此通告提醒用户和企业尽快采取必要防御应对措施以保障终端的安全。","CVE-2018-20250 WINRAR ACE"
"QiAnXinTI-SV-2018-031 Microsoft Exchange Server SSRF权限提升漏洞（CVE-2018-8581）通告","2018-12-31 By 奇安信威胁情报中心 | 漏洞通告","2018年11月13日，Microsoft MSRC发布了一个Microsoft Exchange Server漏洞通告，涉及Microsoft Exchange Server中存在一处漏洞。利用此漏洞最低限度可以导致越权访问任意Exchange用户的邮件信息，结合特定的场景和其他安全问题可能实现权限提升，对应的漏洞编号为CVE-2018-8581。 2018年12月19日，安全厂商发布该漏洞细节及验证代码，同日Github上也流传出了针对该漏洞改良版的漏洞利用代码。目前，漏洞相关的技术细节和利用程序已经完全公开，奇安信威胁情报中心验证可用。","CVE-2018-8581 MICROSOFT EXCHANGE SERVER"
"QiAnXinTI-SV-2018-012 XMeye P2P云服务器内置硬编码账号漏洞通告","2018-10-12 By 奇安信威胁情报中心 | 漏洞通告","2018年10月9日，US-CERT发布了一个安全通告，涉及杭州雄迈科技有限公司XMeye P2P云服务器存在硬编码内置账号问题，相应的漏洞编号为CVE-2018-17919。攻击者只需通过网页浏览器访问并使用设备内置的硬编码账号即可登录设备管理控制台。另外，奇安信威胁情报中心在漏洞验证过程中，部分设备还被发现存在目录遍历漏洞。 目前漏洞相关的技术细节和验证方法已经公开，初步评估互联网上受影响的设备数量非常大，利用存在的这些已知安全问题结合其他漏洞，相关的设备有可能被利用来构建Botnet网络从而构成巨大的现实威胁。奇安信威胁情报中心发此通告提醒用户和企业尽快采取必要防御措施以保证网络的可用性。","CVE-2018-17919 XIONGMAI 硬编码 内置账号"
"QiAnXinTI-SV-2018-0009 Drupal远程代码执行漏洞（CVE-2018-7600）通告","2018-04-13 By 奇安信威胁情报中心 | 漏洞通告","Drupal CMS是一款开源的用PHP实现的内容管理系统，在业界被广泛使用。Drupal 目前支持超过100万个站点，而且在前1万个最流行站点中的占据约为9%市场份额。 2018年3月28日，Drupal官方发布新补丁和安全公告，称Drupal 6、7、8多个子版本存在远程代码执行漏洞(CVE-2018-7600)。目前漏洞相关的技术细节已经公开， 2018年4月13日凌晨有相应的漏洞利用验证程序在互联网上公开，奇安信威胁情报中心证实攻击方法可用，所以此漏洞已经构成较大的现实威胁。奇安信威胁情报中心特此通告提醒用户和企业尽快采取必要防御应对措施以保障网站的安全性和可用性。","CVE-2018-7600 DRUPAL"
"QiAnXinTI-SV-2018-0008 Cisco IOS and IOS XE Software Smart Install远程命令执行漏洞（CVE-2018-0171）通告","2018-03-30 By 奇安信威胁情报中心 | 漏洞通告","2018年3月28日，Cisco发布了一个远程代码执行严重漏洞通告。通告了思科IOS和IOS-XE系统的配置管理类协议Cisco Smart Install（Cisco私有协议）代码中存在一处缓冲区栈溢出漏洞，漏洞编号为CVE-2018-0171。攻击者无需用户验证即可向远端Cisco设备的 TCP 4786 端口发送精心构造的恶意数据包，触发漏洞造成设备远程执行Cisco系统命令或拒绝服务（DoS）。","CISCO SMART INSTALL CVE-2018-0171"
"QiAnXinTI-SV-2017-0024 现代CPU中的预测执行和乱序执行相关机制漏洞通告","2018-01-06 By 奇安信威胁情报中心 | 漏洞通告","2018年1月3日，Moritz Lipp、Thomas Prescher、Google Project Zero等安全研究人员以及安全研究团队披露了""Meltdown(熔断)""(漏洞编号为CVE-2017-5754)和""Spectre(幽灵)""(漏洞编号为CVE-2017-5753和CVE-2017-5715)两组现代CPU性能优化与执行机制相关的漏洞。 奇安信威胁情报中心分析确认基于Intel系列CPU相关漏洞可利用，由于执行加速机制是现代CPU的通用技术，因此所有处理器几乎都受此类漏洞影响。漏洞相关的技术细节和验证程序已经公开。相关漏洞极有可能被利用来执行大规模的攻击，构成现实的威胁，奇安信威胁情报中心发布此通告提醒用户采取应对措施。","CVE-2017-5754 CVE-2017-5753 CVE-2017-5715 SPECTRE MELTDOWN CPU OUT-OF-ORDER EXECUTION SPECULATIVE EXECUTION"
"QiAnXinTI-SE-2017-0021 WebLogic组件远程命令执行漏洞（CVE-2017-3248、CVE-2017-10271）大规模被利用事件通告","2017-12-22 By 奇安信威胁情报中心 | 事件通告","2017年12月15日，国外安全研究者K.Orange在Twitter上爆出有黑产团体利用WebLogic 反序列化漏洞（CVE-2017-3248、CVE-2017-10271）对全球服务器发起大规模攻击。有大量企业服务器已失陷且被安装上了watch-smartd挖矿程序。鉴于近期比特币等虚拟货币疯涨的利益驱动力，预计未来一周攻击规模可能呈上升趋势。在此强烈提醒相关单位、机构积极采取有效防御措施，降低风险。","CVE-2017-3248 CVE-2017-10271 WEBLOGIC 挖矿 反序列化 STRATEGIC WEB COMPROMISE COINMINE"
"QiAnXinTI-SV-2017-0017 Exim服务器BDAT指令远程代码执行漏洞（CVE-2017-16943）通告","2017-12-14 By 奇安信威胁情报中心 | 漏洞通告","2017年11月23日，流行邮件服务器程序Exim相关的两个漏洞被提交给Exim Bugziliza，其中CVE-2017-16943为UAF（Use After Free）类型漏洞，可能导致远程代码执行，CVE-2017-16944可导致拒绝服务。11月25日相应的POC被放出，但是该POC有限制，需要在特殊情况下才能触发。12月11日，安全研究者devco在其发布的文章中对漏洞进行了详细的技术分析，并证明CVE-2017-16943漏洞可实现远程代码执行。","CVE-2017-16943 EXIM CVE-2017-16944"
"QiAnXinTI-SV-2017-0012 JBOSSAS 5.x/6.x 反序列化命令执行漏洞（CVE-2017-12149）通告","2017-11-22 By 奇安信威胁情报中心 | 漏洞通告","2017年8月30日，Redhat公司发布了一个JbossAS 5.x系统的远程代码执行严重漏洞通告，相应的漏洞编号为CVE-2017-12149。近期有安全研究者发现JbossAS 6.x也受该漏洞影响，攻击者可能利用此漏洞无需用户验证在系统上执行任意命令。","CVE-2017-12149 JBOSSAS"
"QiAnXinTI-SV-2017-0010 Microsoft Office数学公式编辑器内存破坏漏洞（CVE-2017-11882）通告","2017-11-21 By 奇安信威胁情报中心 | 漏洞通告","2017年11月14日，微软在例行的系统安全补丁发布中修复了一个Office远程代码执行严重漏洞，漏洞编号为CVE-2017-11882。受攻击用户打开恶意的Office文档时，无需交互，就可能执行恶意代码从而导致电脑被控制。 奇安信威胁情报中心分析确认该漏洞可用，漏洞相关的技术细节和验证程序已经公开。此漏洞极有可能被利用来执行大规模的攻击，构成现实的威胁，因此，奇安信威胁情报中心发布此通告提醒用户采取应对措施。","CVE-2017-11882"
"QiAnXinTI-SE-2017-0014 海莲花（OceanLotus）APT团伙新活动通告","2017-11-09 By 奇安信威胁情报中心 | 事件通告","2017年11月6日，国外安全公司发布了一篇据称海莲花APT团伙新活动的报告，奇安信威胁情报中心与相关团队对其进行了分析和影响面评估，提供处置建议。","OCEANLOTUS APT WATERING HOLE"
"QiAnXinTI-SE-2017-0012 BadRabbit勒索软件攻击事件通告","2017-10-25 By 奇安信威胁情报中心 | 事件通告","2017年10月24日，一款被命名为“坏兔子”(BadRabbit)的勒索软件被发现大量传播，奇安信威胁情报中心分析对其进行了技术分析和影响面评估，提供处置建议。","BADRABBIT RANSOMWARE WATERING HOLE RANSOM"
"QiAnXinTI-SV-2017-0009 Struts2 Web开发框架REST插件远程命令执行漏洞（CVE-2017-9805）通告","2017-09-06 By 奇安信威胁情报中心 | 漏洞通告","2017年9月6日，有安全研究人员发现并公布一个 Struts2 框架的 REST 插件存在远程代码执行漏洞，奇安信威胁情报中心分析确认漏洞并且可用，发布此通告提醒用户采取应对措施。","CVE-2017-9805 STRUTS2"
"QiAnXinTI-SE-2017-0008 远程终端管理工具Xshell被植入后门代码事件通告","2017-08-15 By 奇安信威胁情报中心 | 事件通告","2017年8月流行的远程终端管理工具Xshell的官方版本被发现植入了后门代码，奇安信威胁情报中心对相关的细节进行了分析。","XSHELL BACKDOOR"
