"category","category_content","title","abstract","row_key","source","edit_time","icon"
"B007_C0008","安全技术","Linux流行病毒家族&清除方法集锦","本文将介绍Linux环境下7个较常见的流行恶意软件家族，以及其对应的清除步骤。","YTNmNjZiMjYtODg2OS0xMWVhLWFlYjctZmVmY2ZlMzMwNGM0","深信服安全中心","2020/4/27 17:29:49","http://secimg.sangfor.com.cn/Fh61AsY-PFahigLC9-Uuv8JOLNdc"
"B007_C0004","漏洞预警","Weblogic远程代码执行漏洞CVE-2020-2551","Weblogic存在远程代码执行漏洞，该漏洞可以绕过Oracle官方在2019年10月份发布的最新安全补丁。IIOP协议以Java接口的形式对远程对象进行访问，默认启用。攻击者可以通过IIOP协议远程访问Weblogic Server服务器上的远程接口，传入精心构造的数据，在目标服务器上执行任意代码。CVSS评分9.8。","YzA2Yjc4YWEtODMwNS0xMWVhLThkMzQtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/4/20 20:52:11","http://secimg.sangfor.com.cn/FhS1xy2qrIapM6LjVbeT6_8qXEbB"
"B007_C0002","勒索软件","Sodinokibi新变种呈现定制化，疑似团伙连续作案","近日，深信服安全团队连续关于勒索病毒的求助，经过分析排查发现，其中的勒索病毒文件相同，为Sodinokibi家族变种，且攻击痕迹也有相似之处，疑似同一伙黑客团体连续作案。","NDA5NDdmY2MtODJlZC0xMWVhLWE0NzItZmVmY2ZlMzMwNGM0","深信服安全中心","2020/4/20 17:56:49","http://secimg.sangfor.com.cn/Fq2rNDIX0c7iUmwRP0eKRG2qF5wa"
"B007_C0004","漏洞预警","Oracle四月份高危漏洞安全公告","Oracle四月份发布的官方补丁通告中共发布了397个安全补丁，其中Weblogic和Coherence组件的高危漏洞有7个，分别为CVE-2020-2801、CVE-2020-2883、CVE-2020-2884、CVE-2020-2798、CVE-2020-2963、CVE-2020-2915、CVE-2020-2949。漏洞危害性较高，建议受影响的客户尽快更新官方发布的安全补丁。","MWE2Y2ZlYWMtN2Y5NC0xMWVhLWIwNWQtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/4/16 11:41:06","http://secimg.sangfor.com.cn/Fm2bldGs3SzWrX77-0D22nDVUYwT"
"B007_C0004","漏洞预警","微软4月份补丁日重点漏洞","2020年4月14日，微软发布2020年4月份安全更新，共发布了113个漏洞的补丁程序，涵盖了Microsoft Windows、Microsoft Edge、ChakraCore、Internet Explorer（IE）、Office、Azure DevOps、Web Apps和Microsoft恶意软件保护引擎等众多组件和软件。113个CVE中共有17个被微软官方标记为严重。","MzZhYzAwMzItN2Y5My0xMWVhLWIwNWQtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/4/16 11:34:44","http://secimg.sangfor.com.cn/Fm2bldGs3SzWrX77-0D22nDVUYwT"
"B007_C0004","漏洞预警","WebSphere 远程代码执行漏洞","WebSphere 是 IBM 的软件平台。2020年3月25日，2020年4月9日。IBM官方分别发布了针对CVE-2020-4276和CVE-2020-4362漏洞的防御补丁。漏洞产生的原因是当在SOAP连接器上的管理请求中使用token-based认证时，IBM WebSphere Application Server可能会被攻击者提权，进而造成远程代码执行。","MWU5OTA4MTAtN2Y5Mi0xMWVhLTlmMTAtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/4/16 11:26:54","http://secimg.sangfor.com.cn/FuqTttpi4RKF5BBNWX_6a7E_Priq"
"B007_C0004","漏洞预警","Nexus Repository Manager远程代码执行漏洞（CVE-2020-10199）","Nexus Repository是一款通用的软件包仓库管理（Universal Repository Manager）服务，Nexus Repository Manager 3系列版本存在一个远程代码执行漏洞，CVE编号CVE-2020-10199。该漏洞允许拥有Nexus Repository Manager 上任何类型帐户的攻击者通过向Nexus Repository Manager 发出恶意 JavaEL 表达式来执行任意代码。","MzNjNjkzN2EtN2Y5MS0xMWVhLWIwNWQtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/4/16 11:20:20","http://secimg.sangfor.com.cn/Fi78NjpCkn88SQutet8OQasJlgm_"
"B007_C0004","漏洞预警","Linux内核权限提升漏洞公告","2020年3月30日，Daniel Borkmann发布了一个Linux内核的更新补丁。该补丁修复了一个漏洞:CVE-2020-8835。","OWJiZGQ1NDgtN2Y5MC0xMWVhLWIwNWQtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/4/16 11:16:05","http://secimg.sangfor.com.cn/FjJ-_nnjSbxTCXoG9VBPwFXC-v04"
"B007_C0007","挖矿木马","SystemedMiner再次更新，使用Socket5中转访问C&C","深信服安全团队通过比对C&C域名、脚本、定时任务等特征确认最近捕获的挖矿木马为SystemdMiner的最新变种，本文将通过分析病毒变种样本解析此次变种与之前的区别。","MzkwMTRkNmUtN2E1OC0xMWVhLTgxYmMtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/4/9 19:49:52","http://secimg.sangfor.com.cn/FnrwIwuILUfNXw-1eZKDQsx-6I0a"
"B007_C0007","挖矿木马","Rocke Group团伙新挖矿变种AliyunMiner分析","近期，深信服安全团队捕获到Rocke Group黑产团伙运营的新挖矿病毒，该病毒通过ssh爆破、ssh免密登录、redis未授权访问漏洞以及redis弱密码爆破、jenkins远程代码执行漏洞以及jenkins弱口令爆破和ActiveMQ远程代码执行漏洞进行传播的挖矿病毒。","ZmE4MTE3NGMtNzQ5Mi0xMWVhLTk5ZTctZmVmY2ZlMzMwNGM0","深信服安全中心","2020/4/2 11:35:20","http://secimg.sangfor.com.cn/Frm7Y3SKc2kNTuuvYoo-vdHldU0M"
"B007_C0006","趋势分析","2019年网络安全态势报告点此下载","2019年，频繁的信息泄露、网络攻击事件，以及等保2.0国家标准等网络安全政策法规的发布，都使得网络安全在全国范围内获得相比往年更高的关注度。那么，在这一年里，中国的网络安全现状究竟如何？","NTQ1NGI5NTAtNzNmNy0xMWVhLWIxMGUtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/4/1 17:01:09","http://secimg.sangfor.com.cn/FgRI1_h9O-fZychGPQcW1BY8R67R"
"B007_C0007","挖矿木马","换汤不换药！BlueHero挖矿团伙又双叒发新版本","近日深信服安全团队通过威胁情报的知识图谱系统跟踪到大量BlueHero挖矿团伙的活动记录，该团伙利用的“肉鸡”数量逐渐增多且频繁更换具有英语短语的URL，主要使用主流的Web RCE漏洞进行互联网传播。","ODU0NWI1NjQtNmY1MS0xMWVhLTk0OWYtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/3/26 19:04:10","http://secimg.sangfor.com.cn/FqAQUsChfgN9mruaQsidqEQKjf4E"
"B007_C0004","漏洞预警","微软Type 1字体解析远程代码执行漏洞安全风险通告（ADV200006）","ADV200006，Type 1字体解析远程代码执行漏洞。该漏洞属于0day漏洞，可能导致远程代码执行，且目前已发现在野攻击。Windows内置的Adobe Type Manager库在解析特制的Adobe Type 1 PostScript格式时处理不恰当，造成了远程代码执行。","MDJiZTQwM2EtNmRjNS0xMWVhLThiMWUtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/3/24 19:45:51","http://secimg.sangfor.com.cn/FtGwkQWq3jSOGI1OtyvlqIt-WXM9"
"B007_C0004","漏洞预警","Fastjson caucho-quercus远程代码执行漏洞","Fastjson是一个Java语言编写的高性能功能完善的JSON库。Fastjson远程代码执行漏洞是由于使用com.caucho.config.types.ResourceRef类，绕过了Fastjson1.2.66及以前版本的黑名单而导致。当服务端加载了存在受漏洞影响的resin依赖，并且开启了Fastjson的autotype时，远程攻击者可以通过构造的攻击代码触发远程代码执行漏洞，最终可以获取到服务器的控制权限。","ZDcxNTY3OTAtNmNkMS0xMWVhLTk3NjUtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/3/23 14:45:10","http://secimg.sangfor.com.cn/FqO6w8bWhWKnJmn_ErRNSDXxS6wB"
"B007_C0004","漏洞预警","Nginx/OpenResty目录穿越漏洞","近日，深信服安全团队监测到关于Nginx/OpenResty目录穿越漏洞的通告，该通告中显示，OpenResty通过在nginx中进行原始重写来实现ngx.req.set_uri()，而无需进行任何其他过滤或标准化。如果与不受信任的输入一起使用，则可能导致CRLF/header注入，目录遍历/本地文件读取，限制绕过。该漏洞利用需要特定配置方案，攻击者可以通过该目录穿越漏洞，读取服务器中任意敏感文件。","MTBiNGRlYzQtNmNkMC0xMWVhLWFlMmMtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/3/23 14:32:27","http://secimg.sangfor.com.cn/FgfJuTQNhEHPAbY_7a6T0k1LdrfS"
"B007_C0004","漏洞预警","Adobe Coldfusion任意文件读取和任意文件包含漏洞","2020年3月18日，Adobe官方发布针对Adobe Coldfusion的安全更新补丁，编号为APSB20-16。补丁中包含Adobe ColdFusion 任意文件读取和任意文件包含漏洞，CVE编号分别为CVE-2020-3761，CVE-2020-3794。","OTgwZWM5OTQtNmNjZi0xMWVhLTg5NDctZmVmY2ZlMzMwNGM0","深信服安全中心","2020/3/23 14:29:05","http://secimg.sangfor.com.cn/Ftvv5Hd4nOwG10yPTMVObtKQ8ykW"
"B007_C0004","漏洞预警","攻击者利用通达OA漏洞释放勒索病毒，用户数据遭到加密","近日，通达OA官方论坛发布了一则安全更新，披露了近期出现攻击者利用通达OA文件上传和文件包含漏洞释放勒索病毒的攻击事件，攻击者通过漏洞上传webshell伪装OA插件的下载提示页面，诱导用户点击下载运行勒索病毒，官方紧急发布了各版本的安全加固补丁。","NDgxODBhYjgtNjlkNy0xMWVhLWE0NTktZmVmY2ZlMzMwNGM0","深信服安全中心","2020/3/19 19:46:33","http://secimg.sangfor.com.cn/Fq4HGn_gW3Uzd1ykbBcwwxCF4kGm"
"B007_C0004","漏洞预警","微软SMBv3 Client/Server远程代码执行漏洞CVE-2020-0796","3月12日，微软发布安全公告披露了一个最新的SMBv3远程代码执行漏洞（CVE-2020-0796）。该漏洞类似于永恒之蓝，存在被蠕虫化利用从而导致规模受攻击可能，深信服建议广大用户务必及时更新安全补丁，加强攻击防御。","OTc4ZWE0NWUtNjVjMS0xMWVhLTlhYjMtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/3/14 15:01:13","http://secimg.sangfor.com.cn/Fu0nz4tbv2xcoHPxv-zA-bzGh47j"
"B007_C0004","漏洞预警","微软3月份补丁日重点漏洞","2020年3月10日，微软发布2020年3月份安全更新，共发布了115个漏洞的补丁程序，涵盖了Microsoft Windows、Edge、ChakraCore、Internet Explorer（IE）、Exchange Server、Office、Azure DevOps、Web Apps和Microsoft恶意软件保护引擎等众多组件和软件。115个漏洞中共有26个被微软官方标记为严重。深信服安全研究团队依据漏洞重要性和影响力进行筛选，对下述漏洞做重点说明。","NTM4NjA1ZGEtNjM0Yy0xMWVhLWFhZTUtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/3/11 11:56:45","http://secimg.sangfor.com.cn/FkxcOoGNI24S3SRAri_vwKNkW-sb"
"B007_C0004","漏洞预警","pppd远程代码执行漏洞","PPP是用于通过拨号调制解调器、DSL连接和许多其他类型的点对点链接建立互联网链接的协议。pppd软件还可以使用多个身份验证协议对网络连接的双方进行身份验证。pppd存在远程代码执行漏洞，攻击者可利用该漏洞在目标主机上面执行任意代码。","MjMxMWRkMTQtNjI5Zi0xMWVhLTkyN2EtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/3/10 15:17:01","http://secimg.sangfor.com.cn/FtGwkQWq3jSOGI1OtyvlqIt-WXM9"
"B007_C0004","漏洞预警","Oracle Coherence远程代码执行漏洞CVE-2020-2555","Coherence是Oracle为了建立一种高可靠和高扩展集群计算的一个关键部件，集群指的是多于一个应用服务器参与到运算里。Coherence的主要用途是共享一个应用的对象(主要是java对象，比如Web应用的一个会话java对象)和数据(比如数据库数据，通过OR-MAPPING后成为Java对象)。Zerodayinitiative公布的一篇博客中公布了一个Coherence反序列化漏洞，CVE编号为CVE-2020-2555，CVSS评分9.8分，危害性高。CVE-2020-2555漏洞是由于攻击者可以传入可控参数并调用java方法。在Java中，类中的readObject()或readExternal()方法可以被自动调用。","OTJkOTI0MDYtNjI5ZC0xMWVhLWE3MWUtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/3/10 15:05:50","http://secimg.sangfor.com.cn/FiCAUxjKbI2OMbjaaezUlr2xN5n0"
"B007_C0004","漏洞预警","FasterXML Jackson-databind远程代码执行漏洞CVE-2020-9548","FasterXML Jackson是美国FasterXML公司的一款适用于Java的数据处理工具。FastXML Jackson-databind远程代码执行漏洞CVE-2020-9548，攻击者可以利用上述缺陷，绕过限制，实现JNDI注入，最终在受害主机上执行任意代码。","MzRmMTRhMzQtNWY1Ni0xMWVhLTg1NTYtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/3/6 10:57:24","http://secimg.sangfor.com.cn/Fn1vEi7eATvCQasvN4-VQLTUESk2"
"B007_C0004","漏洞预警","FasterXML Jackson-databind远程代码执行漏洞CVE-2020-9547","FasterXML Jackson是美国FasterXML公司的一款适用于Java的数据处理工具。FasterXML Jackson-databind远程代码执行漏洞CVE-2020-9547，攻击者可以利用上述缺陷，绕过限制，实现JNDI注入，最终在受害主机上执行任意代码。","M2M3NjlmMjYtNWY1NS0xMWVhLTg1NTYtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/3/6 10:50:27","http://secimg.sangfor.com.cn/FkvsfxKfe1pQ612NBcnymPZwLY7z"
"B007_C0004","漏洞预警","Fastjson JtaTransactionConfig远程代码执行漏洞","fastjson是一个Java语言编写的高性能功能完善的JSON库。Fastjson JtaTransactionConfig存在远程代码执行漏洞，远程攻击者可以通过构造的攻击代码触发远程代码执行漏洞，最终可以获取到服务器的控制权限。","MDg4ZjUwZjItNWRlNS0xMWVhLWIwNjAtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/3/4 14:54:46","http://secimg.sangfor.com.cn/Fg5np42J00u2BHNjms9vswupEMvO"
"B007_C0004","漏洞预警","Fastjson AnterosDBCPConfig远程代码执行漏洞","fastjson是一个Java语言编写的高性能功能完善的JSON库。Fastjson AnterosDBCPConfig存在远程代码执行漏洞 ,远程攻击者可以通过构造的攻击代码触发远程代码执行漏洞，最终可以获取到服务器的控制权限。","Njc2ZTI1N2MtNWRlNC0xMWVhLWE0MmUtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/3/4 14:50:15","http://secimg.sangfor.com.cn/FtQcEgm5a0VG70qKmNfodxT4Y7Oo"
"B007_C0004","漏洞预警","Apache Tomcat文件包含漏洞CVE-2020-1938","2020年2月20日，CNVD公开了Apache Tomcat文件包含漏洞，CVE编号为CVE-2020-1938。Apache Tomcat 使用AJP协议通信过程中存在文件包含漏洞，由于AJP协议设计存在缺陷导致内部相关的属性可控，攻击者可以构造属性值，实现漏洞的利用，成功利用这些漏洞可导致获得敏感文件信息，甚至可以进行远程代码执行漏洞的利用。","MWMwMGU2YmUtNTk1ZC0xMWVhLTg5N2MtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/2/27 20:31:42","http://secimg.sangfor.com.cn/Fhxm08LHcJP3Fy9PsbeXvHldfHr9"
"B007_C0004","漏洞预警","FasterXML Jackson-databind 远程代码执行漏洞 CVE-2020-8840","FasterXML Jackson是美国FasterXML公司的一款适用于Java的数据处理工具。2020年2月19日，NVD发布了一则FasterXML Jackson-databind远程代码执行漏洞信息，攻击者可以利用上述缺陷，绕过限制，实现JNDI注入，最终在受害主机上执行任意代码。","MzMxZjU5MTItNWRlOS0xMWVhLTk3NTAtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/2/23 15:24:35","http://secimg.sangfor.com.cn/FumtgcwAJmao_KKz97L1K7SxK9mI"
"B007_C0004","漏洞预警","Fastjson <=1.2.62 远程代码执行漏洞","Fastjson是一个Java语言编写的性能高，功能完善的JSON库。Fastjson <=1.2.62 存在远程代码执行漏洞，远程攻击者可以通过构造的攻击代码触发远程代码执行漏洞，最终可以获取到服务器的控制权限。","YjdmMDg2MzgtNWRlNS0xMWVhLWE0MmUtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/2/22 14:59:40","http://secimg.sangfor.com.cn/Fh28fXItd5WIAHfTj02kgBXmaGD1"
"B007_C0004","漏洞预警","Apache Dubbo反序列化漏洞 CVE-2019-17564","Apache Dubbo是一款高性能、轻量级的开源java Rpc分布式服务框架。Apache Dubbo HTTP协议处理模块中存在一个反序列化漏洞，此漏洞的利用方式和其他java中间件反序列化漏洞相似。攻击者利用此漏洞可以在受影响的Apache Dubbo服务器上执行任意指令。","YWM4MGIwN2UtNTNiNC0xMWVhLWE3YjYtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/2/20 15:43:24","http://secimg.sangfor.com.cn/FvzUNbrEAwgHacTYsKPbs56ymG9k"
